time,step,trainLoss
2022-05-11 11:33:10.003016,Step[2],0.194561
2022-05-11 11:33:10.280243,Step[3],0.194560
2022-05-11 11:33:10.757969,Step[4],0.194560
2022-05-11 11:33:11.110033,Step[5],0.194560
2022-05-11 11:33:11.425193,Step[6],0.194561
2022-05-11 11:33:11.775261,Step[7],0.194561
2022-05-11 11:33:12.178186,Step[8],0.194561
2022-05-11 11:33:12.554220,Step[9],0.194561
2022-05-11 11:33:12.880315,Step[10],0.194560
2022-05-11 11:33:13.303190,Step[11],0.194560
2022-05-11 11:33:13.652261,Step[12],0.194560
2022-05-11 11:33:13.985372,Step[13],0.194560
2022-05-11 11:33:14.452128,Step[14],0.194560
2022-05-11 11:33:14.880986,Step[15],0.194560
2022-05-11 11:33:15.243022,Step[16],0.194560
2022-05-11 11:33:15.629991,Step[17],0.194560
2022-05-11 11:33:16.025937,Step[18],0.194560
2022-05-11 11:33:16.361044,Step[19],0.194560
2022-05-11 11:33:17.036244,Step[0],0.023775
2022-05-11 11:33:17.317530,Step[1],0.023775
2022-05-11 11:33:17.661578,Step[2],0.023775
2022-05-11 11:33:18.120356,Step[3],0.023775
2022-05-11 11:33:18.440536,Step[4],0.023775
2022-05-11 11:33:18.767664,Step[5],0.023775
2022-05-11 11:33:19.165572,Step[6],0.023775
2022-05-11 11:33:19.583493,Step[7],0.023775
2022-05-11 11:33:19.897622,Step[8],0.023775
2022-05-11 11:33:20.322489,Step[9],0.023775
2022-05-11 11:33:20.708461,Step[10],0.023775
2022-05-11 11:33:21.051547,Step[11],0.023775
2022-05-11 11:33:21.457465,Step[12],0.023775
2022-05-11 11:33:21.819501,Step[13],0.023775
2022-05-11 11:33:22.118704,Step[14],0.023775
2022-05-11 11:33:22.425886,Step[15],0.023775
2022-05-11 11:33:22.896633,Step[16],0.023775
2022-05-11 11:33:23.181872,Step[17],0.023775
2022-05-11 11:33:23.509036,Step[18],0.023775
2022-05-11 11:33:23.991715,Step[19],0.023775
2022-05-11 11:33:24.474430,Step[0],0.138121
2022-05-11 11:33:24.782607,Step[1],0.138121
2022-05-11 11:33:25.244409,Step[2],0.138121
2022-05-11 11:33:25.527659,Step[3],0.138121
2022-05-11 11:33:25.871738,Step[4],0.138121
2022-05-11 11:33:26.345445,Step[5],0.138121
2022-05-11 11:33:26.647639,Step[6],0.138121
2022-05-11 11:33:26.967786,Step[7],0.138121
2022-05-11 11:33:27.369715,Step[8],0.138121
2022-05-11 11:33:27.779625,Step[9],0.138121
2022-05-11 11:33:28.120715,Step[10],0.138121
2022-05-11 11:33:28.542591,Step[11],0.138121
2022-05-11 11:33:28.931554,Step[12],0.138121
2022-05-11 11:33:29.256721,Step[13],0.138121
2022-05-11 11:33:29.640666,Step[14],0.138121
2022-05-11 11:33:30.024642,Step[15],0.138121
2022-05-11 11:33:30.318858,Step[16],0.138121
2022-05-11 11:33:30.650973,Step[17],0.138121
2022-05-11 11:33:31.150643,Step[18],0.138121
2022-05-11 11:33:31.440869,Step[19],0.138121
2022-05-11 11:33:32.023317,Step[0],0.220316
2022-05-11 11:33:32.385371,Step[1],0.220316
2022-05-11 11:33:32.714476,Step[2],0.220316
2022-05-11 11:33:33.004703,Step[3],0.220316
2022-05-11 11:33:33.486420,Step[4],0.220316
2022-05-11 11:33:33.753708,Step[5],0.220316
2022-05-11 11:33:34.073911,Step[6],0.220316
2022-05-11 11:33:34.499735,Step[7],0.220316
2022-05-11 11:33:34.885707,Step[8],0.220316
2022-05-11 11:33:35.240761,Step[9],0.220316
2022-05-11 11:33:35.638733,Step[10],0.220316
2022-05-11 11:33:36.014731,Step[11],0.220316
2022-05-11 11:33:36.348810,Step[12],0.220316
2022-05-11 11:33:36.759714,Step[13],0.220316
2022-05-11 11:33:37.157654,Step[14],0.220316
2022-05-11 11:33:37.517695,Step[15],0.220316
2022-05-11 11:33:37.898682,Step[16],0.220316
2022-05-11 11:33:38.304600,Step[17],0.220316
2022-05-11 11:33:38.653669,Step[18],0.220316
2022-05-11 11:33:38.924946,Step[19],0.220316
2022-05-11 11:33:39.570227,Step[0],0.091006
2022-05-11 11:33:39.890409,Step[1],0.091006
2022-05-11 11:33:40.219497,Step[2],0.091006
2022-05-11 11:33:40.660323,Step[3],0.091006
2022-05-11 11:33:41.069234,Step[4],0.091006
2022-05-11 11:33:41.434261,Step[5],0.091006
2022-05-11 11:33:41.868142,Step[6],0.091006
2022-05-11 11:33:42.195234,Step[7],0.091006
2022-05-11 11:33:42.477516,Step[8],0.091006
2022-05-11 11:33:43.006074,Step[9],0.091006
2022-05-11 11:33:43.340184,Step[10],0.091006
2022-05-11 11:33:43.607474,Step[11],0.091006
2022-05-11 11:33:44.076223,Step[12],0.091006
2022-05-11 11:33:44.369442,Step[13],0.091006
2022-05-11 11:33:44.679649,Step[14],0.091006
2022-05-11 11:33:45.063592,Step[15],0.091006
2022-05-11 11:33:45.458541,Step[16],0.091006
2022-05-11 11:33:45.773701,Step[17],0.091006
2022-05-11 11:33:46.112797,Step[18],0.091006
2022-05-11 11:33:46.561601,Step[19],0.091006
2022-05-11 11:33:47.102160,Step[0],0.097377
2022-05-11 11:33:47.611804,Step[1],0.097377
2022-05-11 11:33:47.934945,Step[2],0.097377
2022-05-11 11:33:48.231792,Step[3],0.097377
2022-05-11 11:33:48.636712,Step[4],0.097377
2022-05-11 11:33:48.951872,Step[5],0.097377
2022-05-11 11:33:49.297950,Step[6],0.097377
2022-05-11 11:33:49.558256,Step[7],0.097377
2022-05-11 11:33:50.000079,Step[8],0.097377
2022-05-11 11:33:50.321226,Step[9],0.097377
2022-05-11 11:33:50.624416,Step[10],0.097377
2022-05-11 11:33:51.126079,Step[11],0.097377
2022-05-11 11:33:51.441240,Step[12],0.097377
2022-05-11 11:33:51.744432,Step[13],0.097377
2022-05-11 11:33:52.171295,Step[14],0.097377
2022-05-11 11:33:52.554276,Step[15],0.097377
2022-05-11 11:33:52.904342,Step[16],0.097377
2022-05-11 11:33:53.282335,Step[17],0.097377
2022-05-11 11:33:53.668308,Step[18],0.097377
2022-05-11 11:33:53.991446,Step[19],0.097377
2022-05-11 11:33:54.587977,Step[0],0.116500
2022-05-11 11:33:54.889174,Step[1],0.116500
2022-05-11 11:33:55.220293,Step[2],0.116500
2022-05-11 11:33:55.557395,Step[3],0.116500
2022-05-11 11:33:55.978273,Step[4],0.116500
2022-05-11 11:33:56.309426,Step[5],0.116500
2022-05-11 11:33:56.588647,Step[6],0.116500
2022-05-11 11:33:57.075349,Step[7],0.116500
2022-05-11 11:33:57.412485,Step[8],0.116500
2022-05-11 11:33:57.692740,Step[9],0.116500
2022-05-11 11:33:58.186390,Step[10],0.116500
2022-05-11 11:33:58.505541,Step[11],0.116500
2022-05-11 11:33:58.804742,Step[12],0.116500
2022-05-11 11:33:59.110927,Step[13],0.116500
2022-05-11 11:33:59.519878,Step[14],0.116500
2022-05-11 11:33:59.846003,Step[15],0.116500
2022-05-11 11:34:00.129248,Step[16],0.116500
2022-05-11 11:34:00.577021,Step[17],0.116500
2022-05-11 11:34:00.899166,Step[18],0.116500
2022-05-11 11:34:01.225294,Step[19],0.116500
2022-05-11 11:34:01.811774,Step[0],0.174659
2022-05-11 11:34:02.135868,Step[1],0.174659
2022-05-11 11:34:02.423103,Step[2],0.174659
2022-05-11 11:34:02.889862,Step[3],0.174659
2022-05-11 11:34:03.221975,Step[4],0.174659
2022-05-11 11:34:03.517188,Step[5],0.174659
2022-05-11 11:34:03.816391,Step[6],0.174659
2022-05-11 11:34:04.228328,Step[7],0.174659
2022-05-11 11:34:04.547476,Step[8],0.174659
2022-05-11 11:34:04.831719,Step[9],0.174659
2022-05-11 11:34:05.259547,Step[10],0.174659
2022-05-11 11:34:05.585677,Step[11],0.174659
2022-05-11 11:34:05.867962,Step[12],0.174659
2022-05-11 11:34:06.156158,Step[13],0.174659
2022-05-11 11:34:06.598978,Step[14],0.174659
2022-05-11 11:34:06.923116,Step[15],0.174659
2022-05-11 11:34:07.188440,Step[16],0.174659
2022-05-11 11:34:07.604301,Step[17],0.174659
2022-05-11 11:34:07.933424,Step[18],0.174659
2022-05-11 11:34:08.226643,Step[19],0.174659
2022-05-11 11:34:08.814076,Step[0],0.294007
2022-05-11 11:34:09.137249,Step[1],0.294007
2022-05-11 11:34:09.416505,Step[2],0.294007
2022-05-11 11:34:09.839347,Step[3],0.294007
2022-05-11 11:34:10.170463,Step[4],0.294007
